nazwa,prawdopodobienstwo
Milurit,0.02413413199473802
Polpril,0.015707361035163524
Atoris,0.01462513252000445
Nebilet,0.014400972767884868
Roswera,0.01400696084364232
Zahron,0.010711437868881922
Kalipoz prolongatum,0.010621400953634934
Romazic,0.009990962032647915
Glucophage XR,0.009747586844677612
Tertensif SR,0.009638490960449652
Amlozek,0.0092029429931582
Polfenon,0.008692474091501928
Prestarium 5 mg,0.008078547473520915
IPP 20,0.007711027887647725
Nedal,0.007096426342486196
Spironol,0.006837529870547607
Mesopral,0.006637551700285929
Co-Prestarium,0.006506219768812661
Doreta,0.006482286474918403
Tritace 5,0.00635421726870418
Furosemidum Polpharma,0.006245790774076693
Amlopin 5 mg,0.006145641077649465
Jardiance,0.006085466511332319
Diuresin SR,0.0058084453274351066
Lacipil,0.005724679817793182
Neoparin,0.005607551195981587
Trittico CR,0.005547124789773838
Forxiga,0.0054874388340908084
Atorvasterol,0.005163812727243689
Indapen SR,0.005110252606398085
Emanera,0.005081461830960802
Nimesil,0.004941088280815048
Controloc 20,0.004924171118602886
Metformax 500,0.00489159387325846
Suvardio,0.004785910387261538
Depakine Chrono 500,0.00476571527440259
Tritace 10,0.004756579245541138
Axtil,0.004729803583265417
Telmizek,0.0046973338273043844
Co-Valsacor,0.004641525956925249
Siofor 1000,0.004401185315204949
Metocard,0.0041516038201575445
Zinnat,0.004016233781512552
Euthyrox N 75,0.003985738753620918
Diaprel MR,0.003889408590880664
Tulip,0.0038476023839473
Hitaxa,0.003830444651873205
Amotaks,0.003821817303085328
Euthyrox N 50,0.0037273712431939985
Zaranta,0.003722168339979002
Glucophage 1000 mg,0.0037130495624924866
Prostamnic,0.0036805297585645828
Bisoratio 5,0.003601490748589391
Clexane,0.003586540368353679
Augmentin,0.0035455368913165216
Polsart,0.0034451291463891585
Siofor 500,0.003383044073985931
Furosemidum Polfarmex,0.0033568513575523416
Xarelto,0.0032139032023588603
"Omnic Ocas 0,4",0.0032035157615990365
Nebilenin,0.0031944639043182304
Ketrel,0.0031678953965148956
