nazwa,plec,prawdopodobienstwo,typ_wariantu
pan NOWAK,M,0.004641435464884434,title_surname
NOWAK,M,0.004641435464884434,surname_only
PIOTR N.,M,0.03179996043385591,first_initial
KRZYSZTOF N.,M,0.029441553602014725,first_initial
TOMASZ N.,M,0.024843783153302407,first_initial
ANDRZEJ N.,M,0.023936725106712575,first_initial
PAWEŁ N.,M,0.023392853698358192,first_initial
MICHAŁ N.,M,0.022938579198961702,first_initial
JAN N.,M,0.02154905833788462,first_initial
MARCIN N.,M,0.020839504865955476,first_initial
JAKUB N.,M,0.02020668884023208,first_initial
ADAM N.,M,0.018663553309974462,first_initial
ŁUKASZ N.,M,0.017811008203312207,first_initial
MATEUSZ N.,M,0.017592863259089195,first_initial
GRZEGORZ N.,M,0.017223992365579244,first_initial
MAREK N.,M,0.01720372473406771,first_initial
STANISŁAW N.,M,0.016252637005228675,first_initial
WOJCIECH N.,M,0.015633752064153437,first_initial
MARIUSZ N.,M,0.013218456087310907,first_initial
DARIUSZ N.,M,0.013021696988751792,first_initial
MACIEJ N.,M,0.012442695019110746,first_initial
RAFAŁ N.,M,0.012129175726142645,first_initial
ROBERT N.,M,0.011973464405426432,first_initial
KAMIL N.,M,0.011705512339167026,first_initial
ZBIGNIEW N.,M,0.011641168433149943,first_initial
SZYMON N.,M,0.01141174816289063,first_initial
DAWID N.,M,0.011179439172737716,first_initial
KACPER N.,M,0.010815227504862602,first_initial
JACEK N.,M,0.0105854344965525,first_initial
JERZY N.,M,0.01036579860012634,first_initial
BARTOSZ N.,M,0.009558634351147385,first_initial
ARTUR N.,M,0.009240875162851584,first_initial
RYSZARD N.,M,0.008819914126744169,first_initial
JÓZEF N.,M,0.008759670339285743,first_initial
JAROSŁAW N.,M,0.008756781619392145,first_initial
TADEUSZ N.,M,0.008670539352891334,first_initial
SEBASTIAN N.,M,0.00866895521617549,first_initial
DAMIAN N.,M,0.008565287445800393,first_initial
SŁAWOMIR N.,M,0.008429051688237795,first_initial
PATRYK N.,M,0.008397182584895517,first_initial
ANTONI N.,M,0.008231919851627892,first_initial
FILIP N.,M,0.008230382307168396,first_initial
ROMAN N.,M,0.008124757662026668,first_initial
MIROSŁAW N.,M,0.008071595897533191,first_initial
